label,capfile,nFrames,nGolden,pctGolden,totInfoBits,totInfoErr,codedBER,codedBER_steady
t8tap/txsim_lane0_d2p1.iq,t8tap/txsim_lane0_d2p1.iq,3,0,0.000,360,153,0.42500000,0.41250000
HDMA-rail-d2,/mnt/onetb/scratch/qpsk_variants/two_jup/armed_tap_hostdma_d2.iq,16,0,0.000,1920,778,0.40520833,0.40000000
HDMA-rail-raw,/mnt/onetb/scratch/qpsk_variants/two_jup/armed_tap_hostdma.iq,44,0,0.000,5280,2265,0.42897727,0.42790698
ch2_hostdma,/mnt/onetb/scratch/qpsk_variants/two_jup/ch2_hostdma.iq,46,0,0.000,5520,2354,0.42644928,0.42537037
ch2_hostdma_d2,/mnt/onetb/scratch/qpsk_variants/two_jup/ch2_hostdma_d2.iq,16,0,0.000,1920,770,0.40104167,0.40000000
ch2_dup2,/mnt/onetb/scratch/qpsk_variants/two_jup/ch2_dup2.iq,46,0,0.000,5520,2366,0.42862319,0.42796296
ch2_dup2_d2,/mnt/onetb/scratch/qpsk_variants/two_jup/ch2_dup2_d2.iq,15,0,0.000,1800,720,0.40000000,0.40000000
ch2_rs8,t8rate/ch2_hostdma_rs8.iq,16,0,0.000,1920,770,0.40104167,0.40000000
ch2_rs8,t8rate/ch2_hostdma_rs8.iq,16,0,0.000,1920,770,0.40104167,0.40000000
t8rate/ch2_hostdma_dec2p0.iq,t8rate/ch2_hostdma_dec2p0.iq,16,0,0.000,1920,770,0.40104167,0.40000000
t8rate/ch2_hostdma_dec2p1.iq,t8rate/ch2_hostdma_dec2p1.iq,16,0,0.000,1920,770,0.40104167,0.40000000
dec2derot,t8rate/ch2_dec2_derot.iq,16,0,0.000,1920,770,0.40104167,0.40000000
synthctrl,t8rate/synth_ctrl.iq,16,16,100.000,1920,0,0.00000000,0.00000000
ch2-sps4,/mnt/onetb/scratch/qpsk_variants/two_jup/ch2_sps4.iq,37,0,0.000,4440,1913,0.43085586,0.42847222
PN-air-ch2,/mnt/onetb/scratch/qpsk_variants/two_jup/pnair_pn2.iq,38,0,0.000,4560,2024,0.44385965,0.44189189
t8rate/pnair_pn2_d2p0.iq,t8rate/pnair_pn2_d2p0.iq,13,12,92.308,1560,49,0.03141026,0.00000000
t8rate/pnair_pn2_d2p1.iq,t8rate/pnair_pn2_d2p1.iq,13,12,92.308,1560,49,0.03141026,0.00000000
t8rate/pnair_pn_d2p0.iq,t8rate/pnair_pn_d2p0.iq,13,12,92.308,1560,49,0.03141026,0.00000000
t8rate/pnair_pn_d2p1.iq,t8rate/pnair_pn_d2p1.iq,13,12,92.308,1560,49,0.03141026,0.00000000
