# word	offset_symbols  (frame=12320 symbols; window=16 symbols, MSB-first {sign(I),sign(Q)})
1B106774	9777
1B1093E1	6424
1B112BC2	3240
1B165636	8416
1B173C4B	2714
1B1A93F7	4891
1B1CB7CE	8566
1B21A50B	8533
1B2DE209	9215
1B32E552	2668
1B3ABA47	377
1B42915E	5264
1B448AF8	10151
1B482586	7712
1B48AFBB	7096
1B491BA5	10172
1B4BC41F	2060
1B4F0846	1534
1B53ED22	4270
1B5BBF63	6326
1B6AC6C4	9768
1B73E47F	10395
1B74BA2C	7942
1B7BDFC3	10348
1B8063DC	10453
1B85FDB9	5807
1B870324	6655
1B883F65	8788
1B89D02A	11497
1B8CD265	2748
1B91D6F4	6023
1B993341	2837
1B9C58E6	11186
1B9E5EA6	2685
1BA5634D	10180
1BA8541A	7309
1BABE14C	3745
1BAD7FF8	5502
1BB1644B	3504
1BB2AF64	3629
1BC32484	6067
1BC879E4	6042
1BCAC56A	4329
1BCFE00E	6573
1BD3866B	6554
1BD7F704	1547
1BE1AE88	1020
1BE48183	134
1BF7BD98	8586
1C0021F2	10603
1C0128F4	3222
1C0C9248	6660
1C10F6AE	11129
1C227D8A	6230
1C26C288	4484
1C27E9B8	9414
1C2C9EF5	7863
1C2CAC2B	1251
1C38CA77	7887
1C399DEC	8485
1C3E0891	5897
1C477770	9620
1C53A9E2	1463
1C54E1AE	11694
1C569A22	11025
1C58A542	8078
1C746E33	2741
1C7A5BD4	6275
1C7ED665	6605
1C801107	5071
1C8AD1B5	6316
1C8AF8AD	11145
1C8C7D0F	9007
1C8CF929	3402
1C8DFD08	10364
1C9041B0	9255
1C906955	8989
1C924314	7352
1C935AB1	6639
1C94F5AB	2212
1C968E37	4811
1C97DC44	3897
1C9A6C21	4356
1C9D69FA	8767
1CA3C986	11313
1CAD7FD8	1173
1CB7CEDD	8570
1CCBDE0E	4166
1CCC03F3	4907
1CCFC92F	2559
1CD22717	6387
1CD81635	8687
1CDCFC07	10878
1CDD71EF	11721
1CDE6F3A	4675
1CDE7EEE	1784
1CE5D00D	5632
1CFD620D	5465
1D0003B4	9548
1D0CD00A	5746
1D0E8909	7911
1D139F82	12138
1D1B8CD2	2744
1D1C9041	9251
1D255242	6529
1D3447D7	3539
1D41DD2C	10891
1D481404	498
1D4BC70E	8476
1D4C5ADD	1347
1D4C929F	7529
1D5ED478	4561
1D613033	8942
1D6F0F3C	9989
1D6F49C6	6029
1D7097B2	10557
1D71F70D	6297
1D7B9623	4228
1D80912E	272
1D87973C	8057
1D8BB7BA	232
1D8EEC47	8256
1D9171D7	4218
1D936CF5	2523
1D93A25A	10269
1D998246	5294
1DA26580	3019
1DA312D5	6826
1DAC6C6A	4884
1DB3F5DC	1683
1DBD006C	4781
1DBD4FF8	8361
1DC0ADD0	11446
1DC2FE3E	5925
1DC6615F	1380
1DCF766E	11929
1DD2C5B6	10897
1DDDC172	9625
1DE65C64	3481
1DE85254	3842
1DEC7666	5287
1DEDC613	5145
1DF81124	11632
1DF9BE89	9957
1DFB7C8C	4727
1DFEAB33	7391
1E02CA8E	10711
1E09F296	4946
1E0CE4E1	4152
1E1BE1AE	1016
1E1E8EAF	3608
1E1EF21E	4026
1E23FDFC	7253
1E2604A1	7295
1E2B2D4D	6123
1E2B616C	1155
1E2E7758	11582
1E2F9E83	7982
1E313538	10109
1E35F720	4572
1E385CAF	405
1E3E2FC9	4065
1E4B035E	7573
1E5CF101	8062
1E7493D8	7589
1E7913B5	6049
1E8BF492	5951
1E8BFC27	11803
1E8CE150	4038
1E8EAF00	3612
1E96F503	6278
1E973608	8014
