k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
544,51541,1,51541,191,chunk_490_559_r0,0
545,51542,1,51542,191,chunk_490_559_r0,0
546,51543,1,51543,191,chunk_490_559_r0,0
547,51544,1,51544,191,chunk_490_559_r0,0
548,51545,1,51545,191,chunk_490_559_r0,0
549,51546,1,51546,191,chunk_490_559_r0,0
550,51547,1,51547,191,chunk_490_559_r0,0
551,51548,1,51548,191,chunk_490_559_r0,0
552,51549,1,51549,191,chunk_490_559_r0,0
553,51550,1,51550,191,chunk_490_559_r0,0
554,51551,1,51551,191,chunk_490_559_r0,0
555,51552,0,-1,191,chunk_490_559_r0,1
